,ID,Segment,WC,WPS,BigWords,emopos,emoneg,anxiete,colère,tristesse,cognition,perspicacite,cause,divergence,tentative,certitude,inhibition,inclusion,exclusion,perception,remplisseur,conjunctToSent,conjunctTypesToSent,conjunctToWords,conjunctNum,conjunctTypesToTotal,conjunctNeighborSent,synonymToNouns,synonymToVerbs,averageSynClassNOUN,averageSynClassVERB,localNounOverlapCount,localArgumentOverlapCount,localStemOverlapCount,localContentWordOverlap,globalNounOverlapCount,globalArgumentOverlapCount,globalStemOverlapCount,globalContentWordOverlap,POS_numNouns,POS_numProperNouns,POS_numPronouns,POS_numConjunct,POS_numAdjectives,POS_numVerbs,POS_numAdverbs,POS_numModals,POS_numPrepositions,POS_numInterjections,POS_numPerPronouns,POS_numWhPronouns,POS_numLexicals,POS_numFunctionWords,POS_numDeterminers,POS_numVerbsVB,POS_numVerbsVBG,POS_numVerbsVBN,POS_numVerbsVBP,POS_numVerbsVBZ,POS_advVar,POS_adjVar,POS_modVar,POS_nounVar,POS_verbVar1,POS_verbVar2,POS_squaredVerbVar1,POS_correctedVV1,DISC_RefExprPronounsPerNoun,DISC_RefExprPronounsPerSen,DISC_RefExprPronounsPerWord,DISC_RefExprPerPronounsPerSen,DISC_RefExprPerProPerWord,DISC_RefExprPossProPerSen,DISC_RefExprPossProPerWord,DISC_RefExprDefArtPerSen,DISC_RefExprDefArtPerWord,DISC_RefExprProperNounsPerNoun,TTR,CorrectedTTR,RootTTR,BilogTTR,MTLD
18,UPS10,1,572,19.07,15.73,1.92,0.87,0.17,0.87,0.0,17.83,1.57,3.32,1.57,2.45,1.75,0.52,11.71,2.8,4.72,0,0.807692307692308,0.153846153846154,0.0355329949238579,21,0.19047619047619,0.0,0.923076923076923,0.966101694915254,1.08333333333333,1.03508771929825,0,0.461538461538462,0.538461538461538,12.5,0,5.73076923076923,7.03846153846154,120.884615384615,0.23568281938326,0.0022026431718061,0.039647577092511,0.0462555066079295,0.052863436123348,0.162995594713656,0.0947136563876652,0,0.196035242290749,0.0022026431718061,0.039647577092511,0,0.54625550660793,0.548458149779736,0.169603524229075,0.149779735682819,0,0.013215859030837,0,0,0.173387096774194,0.0967741935483871,0.270161290322581,0.431451612903226,1.27586206896552,0.298387096774194,94.4137931034483,6.87072751255092,0.169811320754717,0.692307692307692,0.0304568527918782,0.692307692307692,0.0304568527918782,0,0,0,0,0.0094339622641509,0.0203045685279188,0.34903783629789,0.493614041873836,0.389372968918336,36.8422651933702
20,LRE06,1,392,14.52,26.79,3.32,0.77,0.51,0.26,0.26,21.94,1.53,4.59,1.02,2.55,2.55,0.26,12.5,2.3,2.3,0,0.541666666666667,0.166666666666667,0.0305882352941177,13,0.307692307692308,0.0,0.9375,0.878048780487805,1.06666666666667,1.13888888888889,0,0.375,0.375,6.58333333333333,0,4.16666666666667,4.91666666666667,83.125,0.211221122112211,0.0132013201320132,0.0429042904290429,0.0363036303630363,0.066006600660066,0.184818481848185,0.128712871287129,0,0.201320132013201,0.0099009900990099,0.0429042904290429,0,0.590759075907591,0.537953795379538,0.118811881188119,0.161716171617162,0,0.0231023102310231,0,0,0.217877094972067,0.111731843575419,0.329608938547486,0.357541899441341,1.21739130434783,0.312849162011173,68.1739130434783,5.83840359359809,0.216666666666667,0.541666666666667,0.0305882352941177,0.541666666666667,0.0305882352941177,0,0,0,0,0.0666666666666667,0.0282352941176471,0.411596604342021,0.582085500087199,0.410586589263625,42.5
21,BOD05,1,551,13.77,25.77,2.72,0.91,0.18,0.0,0.18,17.97,2.36,4.54,1.27,1.63,1.63,0.18,9.07,3.45,2.18,0,0.512820512820513,0.0769230769230769,0.035778175313059,20,0.15,0.0256410256410256,0.951219512195122,0.859375,1.05128205128205,1.16363636363636,0,0.435897435897436,0.461538461538462,4.07692307692308,0,4.97435897435897,6.20512820512821,78.2564102564103,0.262921348314607,0.0134831460674157,0.0471910112359551,0.0471910112359551,0.0584269662921348,0.175280898876405,0.10561797752809,0,0.164044943820225,0.0022471910112359,0.0471910112359551,0,0.602247191011236,0.503370786516854,0.137078651685393,0.137078651685393,0,0.0382022471910112,0,0,0.175373134328358,0.0970149253731343,0.272388059701493,0.436567164179104,1.14705882352941,0.291044776119403,89.4705882352941,6.68844482055784,0.189189189189189,0.538461538461538,0.037567084078712,0.538461538461538,0.037567084078712,0,0,0,0,0.0540540540540541,0.0232558139534884,0.388796592960477,0.549841414769158,0.405451905356624,43.5963367926859
25,BFC01,1,611,13.58,16.37,3.27,0.65,0.0,0.0,0.16,22.42,3.44,4.42,0.98,1.8,2.78,0.65,12.27,3.6,1.64,0,0.627906976744186,0.0697674418604651,0.0422535211267606,27,0.111111111111111,0.255813953488372,0.957746478873239,0.927272727272727,1.04411764705882,1.07843137254902,0,0.558139534883721,0.581395348837209,6.53488372093023,0,6.83720930232558,7.51162790697674,80.3023255813954,0.212581344902386,0.0216919739696312,0.052060737527115,0.0542299349240781,0.0433839479392625,0.190889370932755,0.145336225596529,0,0.203904555314534,0.0,0.052060737527115,0,0.592190889370933,0.553145336225597,0.0976138828633406,0.145336225596529,0,0.0455531453362256,0,0,0.245421245421245,0.0732600732600733,0.318681318681319,0.358974358974359,1.46666666666667,0.322344322344322,129.066666666667,8.03326417674244,0.272727272727273,0.558139534883721,0.0375586854460094,0.558139534883721,0.0375586854460094,0,0,0,0,0.113636363636364,0.0203442879499218,0.363645255261899,0.514272051884003,0.397056856734685,36.5441176470588
28,NOR01,1,454,16.81,22.25,1.98,1.1,0.22,0.66,0.44,19.38,3.08,3.08,1.32,1.76,2.64,0.66,9.69,3.3,1.1,0,0.592592592592593,0.148148148148148,0.0342612419700214,16,0.25,0.037037037037037,0.852941176470588,0.888888888888889,1.17241379310345,1.125,0,0.407407407407407,0.444444444444444,5.66666666666667,0,4.25925925925926,4.77777777777778,68.7037037037037,0.267955801104972,0.0138121546961326,0.0165745856353591,0.0441988950276243,0.0607734806629834,0.176795580110497,0.074585635359116,0,0.204419889502762,0.0027624309392265,0.0165745856353591,0,0.580110497237569,0.494475138121547,0.151933701657459,0.154696132596685,0,0.0220994475138122,0,0,0.128571428571429,0.104761904761905,0.233333333333333,0.461904761904762,1.16363636363636,0.304761904761905,74.4727272727273,6.10216057117179,0.0652173913043478,0.222222222222222,0.012847965738758,0.222222222222222,0.012847965738758,0,0,0,0,0.0543478260869565,0.0278372591006424,0.425372994152398,0.601568257397572,0.417314017836125,46.7
29,LOR10,1,532,19.7,21.43,2.07,0.75,0.56,0.38,0.0,18.23,2.44,2.63,2.63,2.26,1.69,0.38,6.95,4.32,1.69,0,0.730769230769231,0.192307692307692,0.0347349177330896,19,0.263157894736842,0.0384615384615385,0.926470588235294,0.941176470588235,1.07936507936508,1.0625,0,0.576923076923077,0.615384615384615,10.0,0,4.96153846153846,5.61538461538462,122.192307692308,0.268867924528302,0.0117924528301887,0.0259433962264151,0.0471698113207547,0.0731132075471698,0.14622641509434,0.0731132075471698,0,0.207547169811321,0.0023584905660377,0.0259433962264151,0,0.561320754716981,0.511792452830189,0.155660377358491,0.132075471698113,0,0.0141509433962264,0,0,0.130252100840336,0.130252100840336,0.260504201680672,0.478991596638656,1.14814814814815,0.260504201680672,71.1851851851852,5.96595278162613,0.100917431192661,0.423076923076923,0.020109689213894,0.423076923076923,0.020109689213894,0,0,0,0,0.0458715596330275,0.0237659963436929,0.393038135851985,0.555839862251717,0.406847519560498,47.924756149494
30,CFE08,1,493,14.94,18.46,5.27,2.03,0.41,0.41,0.61,18.46,2.23,2.43,0.61,0.2,1.42,0.81,12.37,2.03,1.42,0,0.696969696969697,0.0909090909090909,0.0459081836327345,23,0.130434782608696,0.0,0.907894736842105,0.8125,1.10144927536232,1.23076923076923,0,0.333333333333333,0.454545454545455,4.93939393939394,0,3.54545454545455,4.6969696969697,86.5757575757576,0.264631043256997,0.0076335877862595,0.0203562340966921,0.0610687022900763,0.0483460559796438,0.165394402035623,0.10941475826972,0,0.16793893129771,0.0025445292620865,0.0203562340966921,0,0.587786259541985,0.521628498727735,0.16030534351145,0.152671755725191,0,0.0127226463104326,0,0,0.186147186147186,0.0822510822510823,0.268398268398268,0.45021645021645,1.2037037037037,0.281385281385281,78.2407407407408,6.25462791622095,0.0792079207920792,0.242424242424242,0.0159680638722555,0.242424242424242,0.0159680638722555,0,0,0,0,0.0297029702970297,0.0259481037924152,0.410685615344266,0.580797167091401,0.412596409641255,40.9968581212271
31,OCM01,1,595,13.84,17.98,4.37,1.34,0.5,0.34,0.17,16.47,2.86,2.86,2.52,1.18,1.51,0.67,9.41,4.03,3.03,0,0.585365853658537,0.0731707317073171,0.040885860306644,24,0.125,0.024390243902439,0.930555555555556,0.925925925925926,1.07462686567164,1.08,0,0.292682926829268,0.317073170731707,4.63414634146341,0,5.51219512195122,6.34146341463415,78.2682926829268,0.23059866962306,0.0155210643015521,0.0310421286031042,0.0532150776053215,0.0509977827050998,0.159645232815965,0.133037694013304,0,0.172949002217295,0.0,0.0310421286031042,0,0.574279379157428,0.558758314855876,0.168514412416851,0.12860310421286,0,0.0310421286031042,0,0,0.231660231660232,0.0888030888030888,0.320463320463321,0.401544401544402,1.18032786885246,0.277992277992278,84.983606557377,6.51857371506133,0.144329896907216,0.341463414634146,0.0238500851788756,0.341463414634146,0.0238500851788756,0,0,0,0,0.0721649484536082,0.0238500851788756,0.408595883792445,0.577841840389097,0.413968165489655,45.6317560277009
35,LRE02,1,549,17.71,23.86,2.73,2.37,0.36,0.73,0.36,15.3,2.19,4.01,3.1,0.91,0.73,1.09,8.01,4.37,1.09,0,0.8,0.0666666666666667,0.044280442804428,24,0.0833333333333333,0.0333333333333333,0.945652173913044,0.875,1.05747126436782,1.14285714285714,0,0.233333333333333,0.366666666666667,8.43333333333333,0,3.1,4.6,104.033333333333,0.274418604651163,0.0162790697674419,0.0348837209302326,0.0581395348837209,0.0651162790697674,0.125581395348837,0.0976744186046512,0,0.193023255813954,0.0,0.0348837209302326,0,0.562790697674419,0.534883720930233,0.151162790697674,0.109302325581395,0,0.0162790697674419,0,0,0.173553719008264,0.115702479338843,0.289256198347107,0.487603305785124,1.2,0.223140495867769,64.8,5.69209978830308,0.135135135135135,0.5,0.0276752767527675,0.5,0.0276752767527675,0,0,0,0,0.0630630630630631,0.0239852398523985,0.394846880500012,0.558397813463825,0.407440981346136,47.219696969697
37,GRE08,1,575,15.97,25.74,3.48,3.13,0.17,0.87,1.22,25.22,3.3,2.96,2.09,2.96,2.43,0.7,10.26,6.09,2.26,0,0.628571428571429,0.142857142857143,0.0368509212730318,22,0.227272727272727,0.0571428571428571,0.918918918918919,0.830508474576271,1.08823529411765,1.20408163265306,0,0.342857142857143,0.457142857142857,4.57142857142857,0,4.51428571428571,6.0,84.7428571428572,0.240174672489083,0.0043668122270742,0.0349344978165939,0.0458515283842795,0.0786026200873363,0.172489082969432,0.126637554585153,0,0.155021834061135,0.0,0.0349344978165939,0,0.617903930131004,0.508733624454149,0.146288209606987,0.161572052401747,0,0.0109170305676856,0,0,0.204946996466431,0.127208480565371,0.332155477031802,0.3886925795053,1.31666666666667,0.279151943462898,104.016666666667,7.21168034048469,0.148148148148148,0.457142857142857,0.0268006700167504,0.457142857142857,0.0268006700167504,0,0,0,0,0.0185185185185185,0.0217755443886097,0.376219402112601,0.532054580895538,0.401280134263217,45.3635852451642
40,UPS13,1,554,20.52,19.31,4.15,2.35,0.18,0.36,0.18,19.68,2.17,5.6,1.62,1.81,0.9,1.08,9.39,3.25,2.35,0,0.772727272727273,0.181818181818182,0.0297723292469352,17,0.235294117647059,0.0454545454545455,0.905405405405405,0.888888888888889,1.1044776119403,1.125,0,0.5,0.545454545454545,12.9090909090909,0,4.13636363636364,5.0,125.590909090909,0.232057416267943,0.0095693779904306,0.0406698564593301,0.0406698564593301,0.0526315789473684,0.181818181818182,0.110047846889952,0,0.203349282296651,0.0071770334928229,0.0406698564593301,0,0.576555023923445,0.533492822966507,0.131578947368421,0.15311004784689,0,0.0287081339712919,0,0,0.190871369294606,0.0912863070539419,0.282157676348548,0.402489626556017,1.33333333333333,0.315352697095436,101.333333333333,7.11805216802087,0.182795698924731,0.772727272727273,0.0297723292469352,0.772727272727273,0.0297723292469352,0,0,0,0,0.043010752688172,0.0245183887915937,0.414280969320528,0.585881765446162,0.415770522721464,43.9230769230769
42,HES05,1,463,14.94,23.97,2.81,0.43,0.0,0.0,0.0,22.68,7.13,4.1,1.3,1.08,2.16,0.86,11.23,3.24,3.02,0,0.444444444444444,0.111111111111111,0.0250521920668058,12,0.25,0.0740740740740741,0.962962962962963,0.796296296296296,1.03846153846154,1.25581395348837,0,0.37037037037037,0.481481481481481,5.11111111111111,0,4.81481481481482,6.18518518518519,62.3703703703704,0.220385674931129,0.0027548209366391,0.0606060606060606,0.0385674931129477,0.0550964187327824,0.195592286501377,0.09366391184573,0,0.212121212121212,0.0027548209366391,0.0606060606060606,0,0.564738292011019,0.528925619834711,0.121212121212121,0.176308539944904,0,0.0192837465564738,0,0,0.165853658536585,0.0975609756097561,0.263414634146342,0.390243902439024,1.22413793103448,0.346341463414634,86.9137931034483,6.59218450528534,0.278481012658228,0.814814814814815,0.0459290187891441,0.814814814814815,0.0459290187891441,0,0,0,0,0.0126582278481013,0.0271398747390397,0.420010935338305,0.59398516110044,0.415598475165428,35.984618262396
43,PES03,1,491,22.32,28.31,1.43,0.61,0.0,0.2,0.2,18.33,2.44,2.85,1.63,1.83,2.04,0.61,9.98,1.63,1.83,0,0.857142857142857,0.142857142857143,0.0365853658536585,18,0.166666666666667,0.0,0.961538461538462,0.916666666666667,1.04,1.09090909090909,0,0.523809523809524,0.619047619047619,12.2380952380952,0,3.0952380952381,4.28571428571429,116.952380952381,0.258312020460358,0.0051150895140665,0.0179028132992327,0.0460358056265985,0.0792838874680307,0.156010230179028,0.0537084398976982,0,0.207161125319693,0.0051150895140665,0.0179028132992327,0,0.547314578005115,0.506393861892583,0.176470588235294,0.125319693094629,0,0.030690537084399,0,0,0.0981308411214953,0.144859813084112,0.242990654205607,0.47196261682243,1.15094339622642,0.285046728971963,70.2075471698113,5.92484376037931,0.0707070707070707,0.333333333333333,0.0142276422764228,0.333333333333333,0.0142276422764228,0,0,0,0,0.0202020202020202,0.0264227642276423,0.41442486349117,0.586085262533831,0.413803043420472,44.7272727272727
48,BOD11,1,495,17.68,18.38,4.65,0.81,0.0,0.2,0.0,18.79,3.64,2.22,2.42,2.02,1.62,1.82,10.3,2.63,3.43,0,0.678571428571429,0.107142857142857,0.0381526104417671,19,0.157894736842105,0.0714285714285714,0.952380952380952,0.895833333333333,1.05,1.11627906976744,0,0.464285714285714,0.5,7.78571428571429,0,5.35714285714286,6.89285714285714,85.9642857142857,0.255555555555556,0.0277777777777778,0.05,0.0555555555555556,0.0722222222222222,0.186111111111111,0.0777777777777778,0,0.163888888888889,0.0,0.05,0,0.591666666666667,0.486111111111111,0.138888888888889,0.144444444444444,0,0.0416666666666667,0,0,0.131455399061033,0.122065727699531,0.253521126760563,0.431924882629108,1.55813953488372,0.314553990610329,104.395348837209,7.22479580463037,0.219512195121951,0.642857142857143,0.036144578313253,0.642857142857143,0.036144578313253,0,0,0,0,0.121951219512195,0.0240963855421687,0.380234550314687,0.537732857937865,0.400107335679302,36.9395604395604
51,BRE01,1,567,16.68,19.75,1.76,1.06,0.0,0.71,0.18,17.64,2.65,2.29,1.41,1.41,1.76,0.35,10.23,2.82,1.23,0,0.727272727272727,0.121212121212121,0.0432432432432432,24,0.166666666666667,0.0303030303030303,0.90625,0.854545454545455,1.10344827586207,1.17021276595745,0,0.303030303030303,0.333333333333333,6.66666666666667,0,5.48484848484848,5.78787878787879,94.2727272727273,0.234883720930233,0.0255813953488372,0.0395348837209302,0.0558139534883721,0.0604651162790698,0.172093023255814,0.0953488372093023,0,0.211627906976744,0.0023255813953488,0.0395348837209302,0,0.562790697674419,0.532558139534884,0.127906976744186,0.162790697674419,0,0.0093023255813953,0,0,0.169421487603306,0.107438016528926,0.276859504132231,0.417355371900826,1.27586206896552,0.305785123966942,94.4137931034483,6.87072751255092,0.188888888888889,0.515151515151515,0.0306306306306306,0.515151515151515,0.0306306306306306,0,0,0,0,0.122222222222222,0.0252252252252252,0.420210157631365,0.594266903969212,0.417640551765753,37.1651785714286
