"WorkerId";"WorkTimeInSeconds";"Input.name";"Answer.Competence";"Answer.Engagement";"Answer.Global";"Answer.Keyword";"Answer.Persuasiveness";"clip"
"A4IQ0TJHUIV3U";106;"ALS07";5;3;85;"sense de la recherche scietifique";5;"end"
"A1337MPXA69L1O";67;"ALS07";4;2;44;"Temps";4;"beginning"
"A3UFHP7495RKV7";238;"ALS07";3;3;57;"temps";2;"beginning"
"ACKM83MOGDRHP";107;"ALS07";4;4;87;"temps";4;"beginning"
"A2YX27BC5JWP26";205;"ALS07";4;4;51;"le temps";4;"full"
"A3FDR89022QHI";292;"ALS07";4;4;64;"Temporel";4;"full"
"A3MSYMSTHZJI98";816;"ALS07";4;4;95;"temps";5;"full"
"A13PVNQT2WWWVL";74;"ALS08";5;3;75;"cellule molǸculaire";5;"middle"
"A28UOASDK07CKF";84;"ALS08";5;5;87;"biologie";5;"middle"
"A3KLFN0W4O3JVC";140;"ALS08";2;2;55;"La micro fluidique en gouttelette";3;"middle"
"A2BF2FUO6F63N7";72;"ALS08";4;1;79;"molǸcule fluorescente";4;"end"
"A3IJILP55BWIOP";89;"ALS08";3;4;40;"biologie";3;"end"
"A4IQ0TJHUIV3U";79;"ALS08";5;4;86;"molecules";4;"end"
"A1337MPXA69L1O";103;"ALS08";4;4;76;"gyrophare";4;"beginning"
"A3IRGLXO0OXSQG";88;"ALS08";4;4;75;"mol̩cule";4;"beginning"
"AUKSY0PD8DSB0";121;"ALS08";4;4;78;"Cellule fluorescente";5;"beginning"
"A2YX27BC5JWP26";307;"ALS08";4;4;83;"gyrophare moleculaire";4;"full"
"A3MSYMSTHZJI98";408;"ALS08";4;4;91;"molǸculaire";4;"full"
"A3POQ5BNIWRKJP";227;"ALS08";4;4;68;"Suivre les molǸcules biologiques";5;"full"
"A2EXPV7UOY7RP6";211;"ALS09";5;5;87;"Vente";1;"middle"
"A2I2S3U4DRA8ZV";98;"ALS09";4;4;75;"rǸseaux";3;"middle"
"A3KLFN0W4O3JVC";94;"ALS09";2;2;52;"Le changement de processus de vente classique vers des processus de vente avec les rǸseaux sociaux";2;"middle"
"A2BF2FUO6F63N7";68;"ALS09";4;1;80;"vente";4;"end"
"A3IJILP55BWIOP";93;"ALS09";3;4;66;"marketing";3;"end"
"A4IQ0TJHUIV3U";118;"ALS09";5;5;95;"processus de vente";5;"end"
"A1337MPXA69L1O";70;"ALS09";4;4;85;"vente";5;"beginning"
"A3IRGLXO0OXSQG";69;"ALS09";4;5;70;"relation";4;"beginning"
"ACKM83MOGDRHP";74;"ALS09";4;4;79;"vente";4;"beginning"
"A2YX27BC5JWP26";236;"ALS09";4;4;82;"processus de vente";3;"full"
"A3MSYMSTHZJI98";468;"ALS09";5;5;98;"client";5;"full"
"AJT3SUCY8NCHA";225;"ALS09";5;5;98;"commercial";5;"full"
"A13PVNQT2WWWVL";101;"ALS10";4;4;100;"mǸdecine tibǸtaine";5;"middle"
"A84BZJ0HK981A";96;"ALS10";4;3;90;"mǸdecine tibǸtaine";4;"middle"
"AK3VQAVM96OJ3";135;"ALS10";3;3;60;"mǸdecine";2;"middle"
"A2BF2FUO6F63N7";85;"ALS10";4;1;73;"anthropologie";4;"end"
"A3IJILP55BWIOP";234;"ALS10";4;3;77;"anthropologie";4;"end"
"AZBGXVYME48RJ";85;"ALS10";3;3;58;"changement";2;"end"
"A1337MPXA69L1O";126;"ALS10";2;1;19;"anthropologie";2;"beginning"
"ACKM83MOGDRHP";97;"ALS10";3;4;81;"anthropologie";4;"beginning"
"AVNP1F3CADQRW";146;"ALS10";4;3;67;"int̩gration";3;"beginning"
"A14N7TK3CEQVAE";255;"ALS10";4;5;85;"l'anthropologie";5;"full"
"A3MSYMSTHZJI98";223;"ALS10";5;5;81;"anthropologie";1;"full"
"A7GFJCU8XD32L";221;"ALS10";4;3;66;"la medecin traditionelle de tibetenne et la transmission du savoir";4;"full"
"A28UOASDK07CKF";97;"ALS11";5;5;93;"chimie";5;"middle"
"A3KLFN0W4O3JVC";75;"ALS11";3;3;69;"Des revǦtements intelligents avec un syst��me biologique";3;"middle"
"A84BZJ0HK981A";101;"ALS11";5;3;100;"chimie";5;"middle"
"A28ZQT5WXSMIED";142;"ALS11";4;2;41;"molǸcule";2;"end"
"ANVBXC6AL9UZQ";112;"ALS11";3;3;52;"Biomimetism et bioinspiration";3;"end"
"AZBGXVYME48RJ";66;"ALS11";2;3;73;"molǸcule";3;"end"
"A1337MPXA69L1O";71;"ALS11";4;5;84;"Moules";4;"beginning"
"A31PVZ4KDUMEEV";170;"ALS11";3;4;35;"polydopamine, mol̩cule dopa";2;"beginning"
"ACKM83MOGDRHP";109;"ALS11";4;4;82;"moule";4;"beginning"
"A3MSYMSTHZJI98";504;"ALS11";5;5;97;"molǸcule";5;"full"
"A3POQ5BNIWRKJP";209;"ALS11";2;2;41;"La polydopamine";2;"full"
"AJT3SUCY8NCHA";230;"ALS11";5;5;98;"Afficher plus d'images  Polydopamine";5;"full"
"A13PVNQT2WWWVL";88;"ANT01";4;4;100;"estime de soi";4;"end"
"A157LV5C7C5B1U";75;"ANT01";4;4;80;"diificultǸ";3;"end"
"A2EXPV7UOY7RP6";86;"ANT01";5;4;85;"changer";5;"end"
"A3IJILP55BWIOP";89;"ANT01";4;4;75;"psychologie";4;"beginning"
"A4IQ0TJHUIV3U";67;"ANT01";5;5;93;"anxiete, peur";5;"beginning"
"AALP4034U041N";75;"ANT01";3;4;70;"le manque de soi";3;"beginning"
"A1337MPXA69L1O";68;"ANT01";5;4;90;"auto-handicap";4;"middle"
"A1F97B6GPXCTD";97;"ANT01";2;2;55;"auto-handicape";2;"middle"
"ACKM83MOGDRHP";148;"ANT01";1;1;73;"handicape";4;"middle"
"A2OVMRCLSHX036";218;"ANT01";4;3;82;"autohandicap";4;"full"
"A3MSYMSTHZJI98";581;"ANT01";4;4;89;"psychologie";5;"full"
"AJT3SUCY8NCHA";149;"ANT01";5;5;98;"auto-handicap";5;"full"
"A2EXPV7UOY7RP6";106;"ANT02";5;5;86;"excrǸment";1;"end"
"A2URLJ0ZX78TOY";144;"ANT02";4;5;70;"Compostage";4;"end"
"A3KLFN0W4O3JVC";111;"ANT02";3;2;56;"Le composte �� partir d'excrǸment et dǸchets organique pour l'agriculture.";2;"end"
"A1LP84A304GZYQ";185;"ANT02";5;5;58;"pathologie";4;"beginning"
"A2BF2FUO6F63N7";70;"ANT02";4;2;58;"pathog��ne";4;"beginning"
"AJU7B06ZHGRQS";156;"ANT02";2;2;46;"Nutrition";2;"beginning"
"A1337MPXA69L1O";81;"ANT02";4;3;84;"bact̩ries";4;"middle"
"A2SZ92V03AFCWU";124;"ANT02";3;4;71;"agriculture";5;"middle"
"ACKM83MOGDRHP";139;"ANT02";3;4;82;"bact̩ries";4;"middle"
"A3HF3GQEJ6PQB2";158;"ANT02";5;4;69;"agriculture";5;"full"
"A3MSYMSTHZJI98";521;"ANT02";5;5;96;"nutrition-santǸ";5;"full"
"AW6JTAHLAEH5B";93;"ANT02";4;2;83;"Une agriculture Ǹcoresponsable pour lutter contre la rǸsistance aux antibiotiques.";4;"full"
"A13PVNQT2WWWVL";103;"BFC01";4;2;40;"dispositif mǸdicale";3;"end"
"A15IJ20C3R4HUO";241;"BFC01";4;3;30;"efficacitǸ , Ǹnorme travail , commercialisation";2;"end"
"A2EXPV7UOY7RP6";98;"BFC01";3;3;51;"mǸdecins";3;"end"
"A1LP84A304GZYQ";192;"BFC01";5;5;94;"arrǦt cardiaque";5;"beginning"
"A2BF2FUO6F63N7";83;"BFC01";4;3;80;"cardiaque";3;"beginning"
"A3IJILP55BWIOP";122;"BFC01";3;3;62;"arrǦt cardiaque";4;"beginning"
"A1337MPXA69L1O";70;"BFC01";4;3;70;"oxig̬ne";4;"middle"
"A3IRGLXO0OXSQG";66;"BFC01";3;2;48;"ventilation";2;"middle"
"ACKM83MOGDRHP";78;"BFC01";3;3;47;"oxyg̩ne";1;"middle"
"A2OVMRCLSHX036";203;"BFC01";4;3;68;"ventilation lors d'un arret cardiaque";4;"full"
"A3MSYMSTHZJI98";357;"BFC01";4;4;89;"dispositif intelligent";4;"full"
"A3POQ5BNIWRKJP";201;"BFC01";3;3;50;"Sauver les victimes d'arrǦt cardiaque par ventilation";3;"full"
"A13PVNQT2WWWVL";83;"BFC02";5;4;100;"discrimination";5;"end"
"A157LV5C7C5B1U";178;"BFC02";5;4;78;"discrimination";4;"end"
"A2I2S3U4DRA8ZV";80;"BFC02";3;4;75;"discrimination";3;"end"
"A2BF2FUO6F63N7";90;"BFC02";5;2;95;"discrimination";4;"beginning"
"A3IJILP55BWIOP";116;"BFC02";4;3;63;"discrimination";4;"beginning"
"AALP4034U041N";76;"BFC02";2;3;30;"appartement a louer";3;"beginning"
"A1337MPXA69L1O";67;"BFC02";5;4;73;"Discrimination";5;"middle"
"A2YBWLWZABXXY0";292;"BFC02";5;5;80;"discrimination";5;"middle"
"A3IRGLXO0OXSQG";65;"BFC02";4;3;73;"discrimination";5;"middle"
"A3HF3GQEJ6PQB2";179;"BFC02";4;5;86;"discrimination";5;"full"
"A3MSYMSTHZJI98";194;"BFC02";5;5;94;"discrimination";1;"full"
"A3POQ5BNIWRKJP";201;"BFC02";5;5;100;"Etude de la discrimination";5;"full"
"A13PVNQT2WWWVL";76;"BFC03";4;3;75;"acte d�??Ǹtat civil europǸen";3;"end"
"A157LV5C7C5B1U";215;"BFC03";3;2;62;"acte civili europǸen";2;"end"
"A2EXPV7UOY7RP6";102;"BFC03";5;5;92;"droits";1;"end"
"A2BF2FUO6F63N7";76;"BFC03";4;2;85;"�?tat civil";4;"beginning"
"A3IJILP55BWIOP";94;"BFC03";3;2;40;"Etat civil";3;"beginning"
"A4IQ0TJHUIV3U";66;"BFC03";5;4;86;"etat civile";5;"beginning"
"A1337MPXA69L1O";70;"BFC03";4;3;82;"droit";4;"middle"
"A2SZ92V03AFCWU";114;"BFC03";4;4;68;"droit";5;"middle"
"A3NSVJGHKJE2DY";147;"BFC03";5;3;69;"Droit";4;"middle"
"A20F1SLHKHBUT3";174;"BFC03";4;4;77;"immigration";4;"full"
"A3POQ5BNIWRKJP";311;"BFC03";5;5;100;"Etude de l'Ǹtat civil";5;"full"
"A67LIDMIXQ67N";174;"BFC03";5;5;90;"Etat civil";5;"full"
"A13PVNQT2WWWVL";125;"BFC04";3;3;75;"defaut de forme des roulements a bille";3;"end"
"A28UOASDK07CKF";98;"BFC04";3;4;59;"roulement";4;"end"
"A84BZJ0HK981A";218;"BFC04";5;5;100;"GPS";5;"end"
"A1S2V59V7NHOKQ";75;"BFC04";4;5;40;"rotation";2;"beginning"
"A2BF2FUO6F63N7";73;"BFC04";4;4;75;"roulement �� billes";4;"beginning"
"A3IJILP55BWIOP";85;"BFC04";4;4;68;"roulement";4;"beginning"
"A1337MPXA69L1O";66;"BFC04";3;2;39;"d̩fauts";2;"middle"
"A1P7L8379HGP4Z";127;"BFC04";3;4;89;"m̩canique";5;"middle"
"A3IRGLXO0OXSQG";83;"BFC04";4;4;61;"roulement";4;"middle"
"A1O39F8V1QSOS9";352;"BFC04";4;4;80;"roulements �� billes";4;"full"
"A23CFOROXR7G7B";514;"BFC04";3;4;53;"Syst��mes de roulement amǸliorǸs";4;"full"
"A3POQ5BNIWRKJP";219;"BFC04";5;5;100;"PrǸdire le comportement des roulements de positionnement";5;"full"
"A28UOASDK07CKF";85;"BFC05";4;5;77;"intelligence universelle";5;"end"
"A2I2S3U4DRA8ZV";86;"BFC05";4;4;40;"apprentissage";2;"end"
"ARJDD0Z3R65BD";146;"BFC05";4;4;78;"Syst��me";3;"end"
"A3IJILP55BWIOP";108;"BFC05";3;3;50;"intelligence artificielle";4;"beginning"
"AJK4J7FINM9U2";92;"BFC05";4;4;77;"Identifier une personne avec son Ǹcriture avec une IA";4;"beginning"
"AZBGXVYME48RJ";70;"BFC05";4;3;79;"�?criture";3;"beginning"
"A1337MPXA69L1O";74;"BFC05";4;3;87;"Cerveau Num̩rique";4;"middle"
"A1P7L8379HGP4Z";104;"BFC05";4;4;90;"ordinateur";4;"middle"
"ACKM83MOGDRHP";82;"BFC05";4;4;82;"servo-numerique";3;"middle"
"A2OVMRCLSHX036";215;"BFC05";5;3;85;"graphologie par AI";4;"full"
"A3POQ5BNIWRKJP";197;"BFC05";3;3;75;"Identifier l'auteur d'un courrier �� l'aide de l'intelligence artificielle";3;"full"
"AJT3SUCY8NCHA";214;"BFC05";5;5;97;"informatique";5;"full"
"A2I2S3U4DRA8ZV";104;"BFC06";4;4;65;"parent";3;"end"
"A3F6FNJMTWTPTA";228;"BFC06";3;4;61;"soutien familial";4;"end"
"A84BZJ0HK981A";225;"BFC06";5;3;95;"aide aux familles";5;"end"
"A3IJILP55BWIOP";118;"BFC06";3;4;75;"parentalitǸ";3;"beginning"
"A4IQ0TJHUIV3U";99;"BFC06";5;5;76;"accueillir un bǸbǸ";5;"beginning"
"AJU7B06ZHGRQS";226;"BFC06";4;4;72;"Devenir parent";4;"beginning"
"A1337MPXA69L1O";79;"BFC06";3;2;72;"naissance";2;"middle"
"A1P7L8379HGP4Z";207;"BFC06";4;4;90;"psychologie";4;"middle"
"AQ6J9UQL7OXLR";243;"BFC06";4;3;99;"Famille";5;"middle"
"A1V6B98VMTBSFS";562;"BFC06";4;3;76;"L'importance de la paternitǸ dans la sociǸtǸ moderne";3;"full"
"A3MSYMSTHZJI98";705;"BFC06";5;4;96;"d'interaction familiale";5;"full"
"A7GFJCU8XD32L";205;"BFC06";4;2;50;"eventement de la naissance plus de dimension communautaire";4;"full"
"A157LV5C7C5B1U";72;"BFC07";3;2;55;"Ǹmotion";2;"end"
"A2I2S3U4DRA8ZV";109;"BFC07";3;4;68;"decision";3;"end"
"A84BZJ0HK981A";117;"BFC07";4;3;81;"Ǹmotions";4;"end"
"A2BF2FUO6F63N7";86;"BFC07";3;1;55;"publicitǸ";3;"beginning"
"A3IJILP55BWIOP";137;"BFC07";4;3;70;"omnicanalitǸ";4;"beginning"
"AJU7B06ZHGRQS";119;"BFC07";3;3;55;"OmnicanalitǸ";3;"beginning"
"A1337MPXA69L1O";80;"BFC07";3;2;27;"donn̩es";3;"middle"
"AUKSY0PD8DSB0";121;"BFC07";4;4;77;"Data commerciale";4;"middle"
"AVNP1F3CADQRW";271;"BFC07";3;2;75;"num̩rique";4;"middle"
"A3HF3GQEJ6PQB2";221;"BFC07";5;4;78;"e-commerce";4;"full"
"A3MSYMSTHZJI98";572;"BFC07";4;4;93;"science de gestion";4;"full"
"AJT3SUCY8NCHA";230;"BFC07";5;5;97;"Ǹmotion";5;"full"
"A157LV5C7C5B1U";127;"BFC08";3;2;70;"IA";4;"end"
"A15IJ20C3R4HUO";101;"BFC08";3;3;41;"notion complexe, intelligence artificielle";3;"end"
"A2I2S3U4DRA8ZV";155;"BFC08";4;3;40;"ia";2;"end"
"A2BF2FUO6F63N7";71;"BFC08";4;1;85;"intelligence artificielle";4;"beginning"
"A3IJILP55BWIOP";101;"BFC08";3;2;41;"intelligence artificielle";2;"beginning"
"ANVBXC6AL9UZQ";199;"BFC08";4;2;79;"Les nouveau ""canaris virtuel"" dans les mines.";3;"beginning"
"A1337MPXA69L1O";68;"BFC08";4;4;84;"Intelligence Artificielle";5;"middle"
"A1LSQXRX64F90G";163;"BFC08";5;5;79;"utiliser intelligence artificielle pour mieux detecter des pannes";5;"middle"
"ACKM83MOGDRHP";92;"BFC08";3;4;66;"machine";3;"middle"
"A3MSYMSTHZJI98";489;"BFC08";4;4;90;"gǸnǸtique";3;"full"
"A7GFJCU8XD32L";355;"BFC08";4;2;63;"gǸnǸtique du petit-pois et la combinaison avec un blǸ";3;"full"
"AJT3SUCY8NCHA";111;"BFC08";5;5;97;"blǸ";5;"full"
"A157LV5C7C5B1U";71;"BFC09";4;4;88;"mauvaise herbe";4;"end"
"A2825I2XO6KZEP";151;"BFC09";4;4;60;"mauvaises herbes";4;"end"
"A28UOASDK07CKF";104;"BFC09";4;4;71;"agronomie";4;"end"
"A2BF2FUO6F63N7";71;"BFC09";4;1;82;"gǸnǸtique";3;"beginning"
"A2X4F7K9G49DDC";99;"BFC09";4;3;80;"les petits pois";4;"beginning"
"A3IJILP55BWIOP";121;"BFC09";3;3;57;"gǸnǸtique";2;"beginning"
"ACKM83MOGDRHP";271;"BFC09";4;4;67;"v̩g̩tation";4;"middle"
"AUKSY0PD8DSB0";127;"BFC09";3;3;55;"Pois, croissance";3;"middle"
"AVNP1F3CADQRW";181;"BFC09";5;4;74;"sol";4;"middle"
"A3MSYMSTHZJI98";430;"BFC09";4;4;90;"l'intelligence artificielle";3;"full"
"A3POQ5BNIWRKJP";201;"BFC09";4;4;71;"Extraire de la connaissance grǽce �� l'intelligence artificielle";4;"full"
"AJT3SUCY8NCHA";214;"BFC09";5;5;98;"Digitalisation";5;"full"
"A15IJ20C3R4HUO";260;"BFC10";4;4;70;"cartographie statistique de diagnostic";3;"end"
"A2EXPV7UOY7RP6";174;"BFC10";4;4;78;"territoire";3;"end"
"A2I2S3U4DRA8ZV";84;"BFC10";3;4;50;"hobbit";3;"end"
"A28ZQT5WXSMIED";74;"BFC10";3;2;45;"industrie";2;"beginning"
"A2BF2FUO6F63N7";74;"BFC10";2;1;77;"industriel";3;"beginning"
"AJU7B06ZHGRQS";72;"BFC10";3;3;56;"Revitalisation des territoires industriels";3;"beginning"
"A1337MPXA69L1O";73;"BFC10";3;4;64;"Diversification";3;"middle"
"A2SZ92V03AFCWU";225;"BFC10";1;1;56;"��conomie";1;"middle"
"A3IRGLXO0OXSQG";67;"BFC10";3;2;26;"̩conomie";2;"middle"
"A3MSYMSTHZJI98";697;"BFC10";5;4;94;"industrielle";4;"full"
"A67LIDMIXQ67N";193;"BFC10";2;2;61;"Industrie";2;"full"
"AJT3SUCY8NCHA";766;"BFC10";5;5;97;"industrie";5;"full"
"A11ZL8DT13UGRN";214;"BOD01";5;5;89;"predire corrosion";5;"middle"
"A1OJ8IJAEIWL9T";155;"BOD01";3;4;71;"bǸton";3;"middle"
"A2I2S3U4DRA8ZV";106;"BOD01";4;4;80;"corrosion";3;"middle"
"A3IJILP55BWIOP";90;"BOD01";3;3;60;"corrosion";3;"end"
"AJU7B06ZHGRQS";134;"BOD01";3;2;43;"Ouvrages en bǸton armǸ";2;"end"
"ANVBXC6AL9UZQ";70;"BOD01";2;2;58;"corrosion de materiales";3;"end"
"A1337MPXA69L1O";75;"BOD01";5;4;89;"b̩ton";4;"beginning"
"A1F97B6GPXCTD";65;"BOD01";3;2;20;"b̩ton";2;"beginning"
"A3IRGLXO0OXSQG";67;"BOD01";4;3;60;"os";3;"beginning"
"A1V6B98VMTBSFS";350;"BOD01";3;4;65;"ChaussǸes en bǸton armǸ et leur Ǹventuelle amǸlioration �� des fins de construction.";3;"full"
"A3POQ5BNIWRKJP";261;"BOD01";2;2;41;"PrǸdire la corrosion des ouvrages en bǸton armǸ";2;"full"
"AJT3SUCY8NCHA";348;"BOD01";5;5;98;"corrosion";5;"full"
"A1EH9BPKYXFBS5";295;"BOD02";4;4;85;"regime";5;"middle"
"A3F6FNJMTWTPTA";105;"BOD02";3;4;31;"alimentation";4;"middle"
"A84BZJ0HK981A";156;"BOD02";5;3;90;"recepteurs";5;"middle"
"A2BF2FUO6F63N7";68;"BOD02";4;2;79;"obǸsitǸ";4;"end"
"A3IJILP55BWIOP";74;"BOD02";4;3;65;"obǸsitǸ";3;"end"
"AZBGXVYME48RJ";73;"BOD02";4;3;72;"ObǸsitǸ";4;"end"
"A1337MPXA69L1O";70;"BOD02";3;2;69;"ob̩sit̩";3;"beginning"
"A1P7L8379HGP4Z";102;"BOD02";5;5;95;"nutrition";4;"beginning"
"A31PVZ4KDUMEEV";82;"BOD02";2;4;55;"ob̩sit̩";2;"beginning"
"A3POQ5BNIWRKJP";402;"BOD02";4;5;87;"Signalisation des sels biliaires dans le cerveau";4;"full"
"AJT3SUCY8NCHA";220;"BOD02";4;4;98;"biliaire";5;"full"
"AW6JTAHLAEH5B";180;"BOD02";3;3;75;"La signalisation des sels biliares dans le cerveau et son r��le dans le contr��le de la balance ǸnegǸtique.";2;"full"
"A2EXPV7UOY7RP6";83;"BOD03";4;5;80;"Danse";1;"middle"
"A3KLFN0W4O3JVC";115;"BOD03";2;2;37;"Les artistes issues des sabars";2;"middle"
"ARJDD0Z3R65BD";146;"BOD03";4;4;75;"Danseurs";4;"middle"
"A1LP84A304GZYQ";281;"BOD03";5;5;89;"Le sabar";3;"end"
"A2BF2FUO6F63N7";77;"BOD03";4;4;69;"Sabar";4;"end"
"A3IJILP55BWIOP";113;"BOD03";3;3;70;"sabar";4;"end"
"A2SZ92V03AFCWU";110;"BOD03";3;3;64;"danse";1;"beginning"
"A3IRGLXO0OXSQG";72;"BOD03";4;5;82;"apprentissage";5;"beginning"
